GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Population
0100000US,,United States,0100000US,,United States,United States,308745538(r38234)
0100000US,,United States,0400000US01,01,United States - Alabama,Alabama,4779736(r38235)
0100000US,,United States,1600000US0103076,0103076,United States - Alabama - Auburn city,Auburn city,53380(r38811)
0100000US,,United States,1600000US0107000,0107000,United States - Alabama - Birmingham city,Birmingham city,212237(r38812)
0100000US,,United States,1600000US0120104,0120104,United States - Alabama - Decatur city,Decatur city,55683
0100000US,,United States,1600000US0121184,0121184,United States - Alabama - Dothan city,Dothan city,65496
0100000US,,United States,1600000US0135896,0135896,United States - Alabama - Hoover city,Hoover city,81619
0100000US,,United States,1600000US0137000,0137000,United States - Alabama - Huntsville city,Huntsville city,180105
0100000US,,United States,1600000US0150000,0150000,United States - Alabama - Mobile city,Mobile city,195111(r38814)
0100000US,,United States,1600000US0151000,0151000,United States - Alabama - Montgomery city,Montgomery city,205764
0100000US,,United States,1600000US0177256,0177256,United States - Alabama - Tuscaloosa city,Tuscaloosa city,90468
0100000US,,United States,0400000US02,02,United States - Alaska,Alaska,710231(r38823)
0100000US,,United States,1600000US0203000,0203000,United States - Alaska - Anchorage municipality,Anchorage municipality,291826
0100000US,,United States,0400000US04,04,United States - Arizona,Arizona,6392017
0100000US,,United States,1600000US0404720,0404720,United States - Arizona - Avondale city,Avondale city,76238
0100000US,,United States,1600000US0407940,0407940,United States - Arizona - Buckeye town,Buckeye town,50876
0100000US,,United States,1600000US0410670,0410670,United States - Arizona - Casas Adobes CDP,Casas Adobes CDP,66795
0100000US,,United States,1600000US0411230,0411230,United States - Arizona - Catalina Foothills CDP,Catalina Foothills CDP,50796
0100000US,,United States,1600000US0412000,0412000,United States - Arizona - Chandler city,Chandler city,236123(r39187)
0100000US,,United States,1600000US0423620,0423620,United States - Arizona - Flagstaff city,Flagstaff city,65870
0100000US,,United States,1600000US0427400,0427400,United States - Arizona - Gilbert town,Gilbert town,208453(r39189)
0100000US,,United States,1600000US0427820,0427820,United States - Arizona - Glendale city,Glendale city,226721
0100000US,,United States,1600000US0428380,0428380,United States - Arizona - Goodyear city,Goodyear city,65275
0100000US,,United States,1600000US0439370,0439370,United States - Arizona - Lake Havasu City city,Lake Havasu City city,52527
0100000US,,United States,1600000US0446000,0446000,United States - Arizona - Mesa city,Mesa city,439041
0100000US,,United States,1600000US0454050,0454050,United States - Arizona - Peoria city,Peoria city,154065
0100000US,,United States,1600000US0455000,0455000,United States - Arizona - Phoenix city,Phoenix city,1445632(r39190)
0100000US,,United States,1600000US0464210,0464210,United States - Arizona - San Tan Valley CDP,San Tan Valley CDP,81321
